row_id,country_code,year,agricultural_land_area,percentage_of_arable_land_equipped_for_irrigation,cereal_yield,droughts_floods_extreme_temps,forest_area,total_land_area,fertility_rate,life_expectancy,rural_population,total_population,urban_population,population_growth,avg_value_of_food_production,cereal_import_dependency_ratio,food_imports_as_share_of_merch_exports,gross_domestic_product_per_capita_ppp,imports_of_goods_and_services,inequality_index,net_oda_received_percent_gni,net_oda_received_per_capita,tax_revenue_share_gdp,trade_in_services,per_capita_food_production_variability,per_capita_food_supply_variability,adult_literacy_rate,school_enrollment_rate_female,school_enrollment_rate_total,avg_supply_of_protein_of_animal_origin,caloric_energy_from_cereals_roots_tubers,access_to_improved_sanitation,access_to_improved_water_sources,anemia_prevalence,obesity_prevalence,open_defecation,hiv_incidence,rail_lines_density,access_to_electricity,co2_emissions,unemployment_rate,total_labor_force,military_expenditure_share_gdp,proportion_of_seats_held_by_women_in_gov,political_stability
11,b79b5f9,2009,31503.11287,8.704189222,1712.530371,1.257778087,52568.58144,111926.5911,3.002508975,73.57120957,3993579.239,7992295.079,4029123.172,2.011007737,214.2062589,52.21181022,18.13419098,3975.446083,58.17159922,51.7849274,3.186657567,57.08394267,14.32684658,19.76739687,2.394948463,27.2223792,,87.64998752,87.28142308,23.98133754,45.7471403,74.93921599,87.7061213,16.68928585,13.47195494,11.7449604,0.019962083,,79.5162144,7889.912257,3.249576335,3186582.979,1.064053568,18.03537009,-0.332741038
12,f787860,2003,99.71831473,10.05277319,14716.45468,,258.8933652,397.1795889,2.202626505,70.76887329,58258.47534,110204.0435,49885.26753,0.192088072,200.1324013,99.52792018,82.48077676,8836.165938,49.37077048,,1.362556534,57.08698126,20.69554984,41.34562297,15.02190757,56.96868894,,,99.5464625,42.38414256,38.30793233,77.03400495,94.58491454,27.98303378,14.83173786,2.824153409,,,83.61744446,195.9271468,19.02921965,50997.67834,,22.41421857,0.789952836
13,4080343,2011,36514.19347,0.300271721,1234.67494,,2720.446787,53759.39873,4.717507356,58.47032114,4170871.714,6811155.071,2494241.792,2.714554211,123.4431612,14.04336326,18.30048042,1232.457846,55.20972506,46.04178555,16.724054,80.33469136,16.27398108,26.06655042,5.137481061,5.991175113,60.32566564,,,7.989523519,71.32976443,11.45345848,59.93992045,51.28965291,5.399670427,52.13242265,0.10169142,,39.48319511,2433.736177,1.861606553,3023993.263,1.544546329,10.92410511,-0.182660106
14,c408d26,2000,14936.26215,6.75596617,2153.387586,,3353.967127,20646.25768,3.040983512,69.26682678,2449477.715,5907380.667,3397070.616,0.720233774,136.632278,40.52727357,17.75229409,6465.977158,42.47792648,52.19783443,1.377337639,30.39260029,10.5828273,17.89590306,3.726808379,24.98933083,,91.01620659,89.93895582,18.65831675,51.19386294,63.18739173,82.49959708,18.09986228,13.75952571,10.62362874,0.069126874,,83.33535939,5801.111402,6.909623155,2248711.522,0.933326915,9.55133747,0.262432838
15,e256731,2004,358038.8417,59.99466138,2395.157245,,19341.85191,762934.966,4.085173952,63.15918301,98348753.06,147798281,52632102.33,2.024773371,181.9606665,-9.746082011,9.027215765,3862.080256,14.90323271,32.68169899,1.443985943,9.427435819,10.41151084,8.291969842,5.771588346,66.75520259,,54.90208866,66.72880424,23.16793724,48.45245605,44.34850305,90.03932001,48.09213044,3.496125252,33.11719786,0.01013021,1.01191611,80.74153974,132199.8953,7.294330109,48154021.94,4.323338056,21.19660953,-1.530392045
16,99a7c06,2005,1128012.393,11.89662236,478.9024254,,113718.6283,1547914.576,2.188501658,65.93428171,930046.2431,2519556.484,1605865.24,1.201594363,238.3291868,66.7971839,13.85434773,6113.95465,63.73451192,,9.083779813,86.47053158,,32.82797276,46.13156487,35.61173974,,92.58278075,93.19024547,43.47823965,49.399778,53.20828233,59.87655924,16.47089483,10.02263193,13.34711639,0.009933701,0.0989147,86.92286076,8610.722381,3.330185704,1056179.427,1.19420328,6.59829975,0.866095661
17,a0b37e7,2015,467257.9256,,2226.485304,,107302.4417,1596251.351,1.669651994,74.91881329,21251212.55,78773514.16,58143363.61,1.181203812,,,,15811.16249,19.3847264,,0.028733578,1.412341272,,,,,,,98.3706519,,,88.7720694,96.89147489,29.05880978,,0.551837264,0.010059158,0.492375176,100.9019139,,11.2660712,26310886.85,2.725478261,3.119329609,-0.915532467
18,d090b87,2000,16571.56669,10.31360801,947.1106465,,1100.561789,27072.99892,4.34912416,57.73917602,5404577.209,8467387.842,3041569.419,1.712128907,99.6592812,56.49156303,101.9988052,1759.154385,32.75502219,,5.19459064,24.61202689,,11.62287434,3.759138734,53.12352034,,,,7.988907819,51.66232388,20.80793319,61.97949484,53.03121008,6.147649502,37.50408704,0.211861992,,33.9992655,1384.72178,8.535742509,3266611.643,,,-0.755657986
19,e256731,2006,368486.7929,62.84068473,2508.877528,,18379.70388,778930.3305,4.069036457,64.29485206,102875446.7,157095233.1,54223909.05,2.052449377,185.8468342,-11.51229148,11.85089078,4160.267599,21.42130951,,1.56133468,13.66417571,10.43259696,8.813272249,3.489694585,39.40689641,53.35396955,59.17348153,66.0997002,24.12256212,47.63623061,48.17663297,88.06714174,49.48848526,3.844505148,29.02784637,0.009850445,0.988537045,83.28930015,148335.9322,5.984917436,53330191.78,3.675191441,20.96444313,-2.056667884
20,6966b4a,2011,6154.292488,1.106201898,873.3144968,,4762.295899,10186.46608,5.746976748,59.02814409,748657.5623,1744385.383,1004227.72,3.153459925,74.99150184,45.22422992,182.3039974,1524.783362,41.38587396,,15.72535396,76.44208555,,23.16167234,18.03576795,74.72307158,,71.00616225,69.0566656,15.28587392,61.78746708,59.94455405,89.59908533,57.55522305,6.648636869,1.780220612,0.158910773,,40.6226616,451.2354854,9.447061089,549407.4323,,7.641341201,0.009829848
21,79c89fd,2009,2.962541109,,,,10.16811653,50.42088405,1.732836576,80.93018098,0,66821.90698,66891.96971,0.554665875,31.88049475,,349.2649888,58007.46823,30.68989672,,,,,39.63122238,0.785170234,95.94625324,,,,60.59050095,23.61507872,,,,,0,,,101.9710639,485.0585769,,,,,0.722749118
22,12c8f8f,2003,18193.94715,0.810324996,953.6618894,,3647.260427,24814.52743,5.333335415,52.09603435,7065472.986,8692096.79,1539097.813,1.645703503,180.8688028,19.31290512,75.92842449,922.7379815,23.15542589,,18.61765107,38.84885231,,,11.77694941,108.4302795,,91.16135219,88.32205882,4.018467325,53.0122491,50.62759004,68.92676873,20.92034976,1.414709656,3.970510192,0.287027791,,7.734367172,530.9618754,1.136601702,4337414.407,2.469965023,48.83343846,-1.165601949
23,3e049d7,2012,959044.4791,13.30328249,4188.559506,,90914.46985,1229791.57,2.571318445,57.91923257,19743312.38,52528734.98,34005774.51,1.38994522,235.0025804,3.859737301,4.073247935,12470.54318,31.41111361,,0.271373924,20.21371502,25.42565655,9.257023393,11.53319425,23.65756415,95.43561513,,,35.60294116,52.52201926,64.21166433,91.94309982,25.24139568,24.17033295,4.115783543,1.234916124,1.67522193,84.01162388,460541.0154,24.71340077,19400384.59,1.136147828,42.34517265,-0.020338592
24,e509cda,2002,51092.21088,0.099352463,1051.460975,,219830.7918,610918.1535,5.398339578,43.88628563,2468833.068,3893897.406,1453423.294,1.965281678,181.9183307,17.86221551,11.07047051,859.667059,20.36002245,,6.158421155,15.3242628,,,5.301942835,26.68987883,,,,17.30326021,54.78866094,17.72037699,64.13286637,49.29417969,2.235265263,23.39886163,0.342510161,,6.575715929,247.4396675,6.142545339,1622280.432,1.063316936,7.419695617,-1.910571104
25,abd1492,2006,1804213.509,41.44121772,2487.506144,,691929.5835,2964217.95,2.893420184,66.18086181,809345904.2,1156724336,339634967.7,1.563340184,153.6834277,-2.081061745,4.065121299,3430.420917,25.0218875,,0.149561018,1.178581825,11.51253819,13.76562855,5.66442302,31.305966,62.09602452,,,9.93113528,61.83674435,30.99291412,84.89999597,53.12269779,2.198079456,55.3150669,0.01975581,1.929448395,67.60305313,1325546.852,4.242369632,458883401.7,2.629132985,8.134059861,-1.055787772
26,04952a0,2013,705250.1051,0.912322156,1243.711383,,78558.31327,921805.9039,5.788104837,53.03684008,92519702.86,174095900.9,77632910.85,2.701659585,205.3008937,,,5398.575241,13.15655395,,0.50480589,14.45182848,1.478705495,4.631872194,12.57516022,24.95237418,,,,,,29.5524037,65.66885813,50.05353507,8.706040768,25.45224485,0.218818227,,54.58631576,99168.79618,3.748595333,53365686.17,0.466679325,6.801562286,-2.068442736
27,5dbddf9,2004,379144.6037,41.76595816,1315.551124,,13749.61638,661144.1219,6.91612861,58.42741336,18829267.51,23904004.78,5480140.964,4.555175204,118.8057216,18.28849043,161.7973908,1071.77731,87.94343019,,43.34692621,96.21311186,,,14.5712212,52.8642748,,,,13.16221204,76.99526987,25.65968057,37.20125559,35.1802917,1.524740591,23.76749162,0.010177871,,17.14162061,948.7590105,9.895028385,6514465.255,2.412389748,,-2.307982542
28,893d538,2005,133188.1029,0.201066709,1561.599145,,34437.76343,197983.9051,6.679688913,52.28730587,25277750.42,28565929.6,3728915.261,3.418542911,171.002505,15.80427867,33.67772817,1252.920949,24.8317028,43.5273204,13.9334043,41.61714503,,12.45352164,3.454295169,51.1914629,,,,10.88938615,45.86306729,16.57397679,64.70200987,37.50551636,1.864816754,12.21005865,0.717483899,,9.04181857,2158.63649,1.926489504,10024202.73,2.398910258,23.66124098,-1.437425131
29,d3a0eeb,2003,10316396.04,3.147701318,1124.115704,,6484093.979,24000264.3,5.603861687,51.92722665,489962912.7,717799366.7,234894402.2,2.686032766,151.8687956,19.00641212,9.900861037,2473.654255,34.47587432,,5.70648452,33.63386044,14.16489455,12.87965393,0.997305699,7.859193367,58.14732221,63.73856853,65.04844076,10.11966319,57.11464792,26.47755041,57.33512153,,,30.97542886,0.486873763,,29.03951079,637609.9465,8.336862275,270830653.8,1.632520162,13.48127427,
30,c8e4701,2013,203937.4724,2.49716431,2179.723388,,102216.5695,312783.4637,5.025631707,52.92526332,10174912.65,21625007.63,11654686.61,2.51106165,270.8448325,,,2904.650549,39.28024617,,4.344276714,58.73396519,14.46394147,13.44586304,10.12340531,29.24703223,,65.31130511,69.17353147,,,21.67894633,83.09775484,51.20097224,7.378962507,25.52196557,0.150829246,0.201967341,62.37053909,10657.24986,2.801556552,7266988.902,1.358854775,10.36376216,-1.015608123
31,f405b98,2005,37615.79827,1.96633189,1127.764047,,28420.53408,71867.04261,5.77033682,44.17156841,3512203.612,5596407.217,2073154.753,3.915096844,132.2370208,21.74894807,83.97102313,1036.403527,29.02723327,,21.26005241,60.84201822,8.245798092,10.24809401,18.94990595,20.1375903,,,,10.96422586,59.64931524,11.75103282,51.50547352,51.38474783,3.856374964,23.66057588,,,11.16818046,542.5482542,3.550055013,2062577.331,1.424168153,14.50438375,-0.436572848
32,7e222a7,2011,51796.93671,1.207750885,1599.669844,,219192.764,258844.3406,4.114833052,64.67737417,238334.1562,1702100.08,1462673.785,3.44177893,150.7860629,85.12492991,4.982847685,15974.68426,17.64336194,,0.443312912,40.22498652,,15.93240728,4.281712304,33.40750432,,,,39.62687128,50.84104596,41.12541128,92.38812699,59.26254488,12.35075166,2.729497826,0.202886232,0.294862744,85.27765239,4937.457203,19.99318648,524804.1728,1.477669295,14.37744017,0.390238609
33,5c2e474,2003,23245.51768,1.000591057,612.7777361,,421.2247094,29989.0689,3.749081203,45.13035463,1518458.843,1942053.58,410025.482,0.840829435,58.60848698,52.4254133,31.00905229,1895.755152,,,4.754942127,41.13992438,32.87065319,30.96382607,5.394792782,9.099951325,,84.11311863,79.42119239,8.930309562,81.05003275,25.79204527,77.97078918,32.73782635,8.883803282,41.88008566,2.598578869,,7.07169305,1929.969118,30.65032969,830983.2303,2.326144286,11.68380067,0.071278224
34,10aeba6,2012,9490.570729,0.100145399,3475.809378,,22751.09755,41714.72044,1.542912206,74.80465493,421269.1045,1347665.22,905933.5707,-0.360629491,399.3065122,-39.06735208,6.036488785,25825.2297,84.7876042,32.82470272,,,1.283946478,43.95502507,8.040137316,44.62013621,,98.32828458,99.87414034,53.36202185,37.26918037,97.75198519,99.45870536,23.34475296,21.82985812,0,,1.823991366,100.6362147,17609.75231,10.17052932,674618.4912,1.90626534,21.09305467,0.599964627
35,0b6e276,2004,448.3121991,33.87340045,,,1247.275068,3714.861003,2.32698964,74.11384038,109733.2484,247167.518,141951.9154,1.333494601,92.15301328,,121.2185782,,,,,,,,3.354524328,28.03990745,,,,66.23905866,34.16272357,98.66400773,100.8283459,,,1.523968652,,,100.9178312,774.0310486,11.6224874,102456.0658,,,
36,a0b37e7,2009,461588.4682,59.49753315,2002.563295,3.017481289,107395.5192,1597521.909,1.754515275,73.47759795,22385447.89,74997717.41,52169737.64,1.145134546,330.3784574,35.96643313,5.965779245,16498.68345,21.15519657,42.71589132,0.022583231,1.243141368,7.365735475,,11.7770649,34.9825386,,,100.9634817,21.64509121,53.1687397,88.25022077,93.72615884,27.32350687,18.93449921,0.602988913,0.009805894,0.40340887,97.14744727,547299.4248,11.91588162,24557897.32,3.021051558,2.812002908,-1.537091268
37,2e5e810,2003,93537.89335,61.06215541,4484.493661,,123194.6354,310380.5525,1.877361697,72.65008181,61163017.77,84387605.6,21833446.29,0.979564951,226.5533808,-10.92487275,4.041836918,3043.251438,67.95214817,,4.148219269,20.96651428,21.02938146,18.73723721,3.430571345,19.93515267,,,,17.82815977,68.90723343,59.07224031,82.93233202,24.63436961,0.889009736,14.62307266,0.049527391,0.806560239,90.10779345,77564.20214,2.243020112,45362413.13,2.168631741,27.29737534,0.101651942
38,3e049d7,2014,976562.3926,,4956.062385,,93832.34426,1210030.824,2.475859139,61.477651,19124943.59,54734404.12,34922143.1,1.444876595,,,,12438.57879,32.72952766,63.43822174,0.31380793,19.73943196,26.83316026,9.826945357,5.644939425,,92.92172413,,,,,66.29714611,94.0358351,25.60512647,25.56481948,2.832217626,1.120921342,1.702370056,86.08581957,487364.8701,24.83879413,20130611.69,1.102726871,41.63630144,-0.129405425
39,c8e4701,2004,196797.8705,2.611648098,1825.673784,,103250.9784,320930.6681,5.593582627,47.48148557,9517044.735,17838664.69,8475071.119,1.754680478,257.2595273,50.61413275,9.02716944,2652.779686,38.69441967,,1.098197788,9.000173672,14.45555922,,5.553628816,22.03646234,,,,12.8278064,64.7353468,19.21817953,77.43378793,50.54736455,5.073531597,33.10257694,0.327454653,,51.93367756,7562.69424,3.587571308,6385704.325,1.517459937,8.666933445,-2.177338091
40,0593aa0,2011,80.63173591,65.65649615,1027.428521,,171.9121694,346.6511957,2.184882241,73.27158142,66514.11225,103005.8254,36952.57757,0.383455994,127.5043298,99.85470322,196.4004519,11093.43624,51.35823721,,1.631521379,115.2433897,18.8576818,33.78499815,6.746737634,18.3014811,,,,40.69304808,26.8307447,98.80234859,98.30669784,23.28943815,19.37265693,3.296330494,,,87.93450553,250.9673075,,,,13.14754663,0.363629438
41,ed9ad13,2011,1717589.544,50.48896057,5439.982504,,9891.169204,2180775.196,2.906391926,72.36881144,5089836.478,28601501.43,23091262.46,2.902638361,114.2494994,93.21596817,4.966890963,47768.74043,29.55589556,,,,,13.14507309,2.437357916,42.04573758,,97.74915754,97.81846329,37.86195753,46.05161593,98.37560286,97.76488693,42.08778108,29.41535228,0,0.009990693,0.099499716,98.55264397,492566.8761,5.883096371,10611355.23,7.159163191,0,-0.456686411
42,ba2039a,2011,127465.989,21.45811431,3636.069637,,306465.5983,643543.0264,2.380871992,65.80022436,33732581.75,51347944.81,15864654.25,0.790353455,304.4839417,-2.239053422,7.895208017,3950.868284,0.101962976,,0.637425894,7.600011875,,3.056136246,7.257264402,26.48814252,,,,32.68326341,52.5714636,78.46012111,78.56444653,40.56325166,2.854778705,5.19141722,0.049734215,,51.97279224,14309.63796,0.790698569,24159969,,3.476260823,-1.12563537
43,6.30E+87,2014,3848.896428,,2899.322486,,6871.270917,14978.18226,5.737062986,68.3667934,834974.6975,1200143.251,382563.7344,2.412008287,,,,2126.324882,27.77958098,28.79183388,7.331873884,207.2390241,22.77461007,13.14487833,10.66893367,,,90.75223174,86.9290403,,,39.98095942,71.33707739,36.79606993,1.53785479,23.68783852,,,57.93351652,469.3598451,3.287823411,267416.6459,0.723949638,37.98901677,-0.19954656
44,4080343,2013,38908.69212,0.303268893,1081.278787,,2245.77226,55094.45556,4.615329275,59.76124741,4256893.726,6923058.804,2798084.799,2.648610835,115.9816166,,,1262.145189,72.87219246,,6.61116068,32.72236958,19.73343753,23.73545361,2.898852931,5.940680689,,,,,,11.59859106,62.41990257,50.59131812,6.03225872,52.31694177,0.098648864,,40.93811004,2677.295744,1.85278387,3123073.379,1.753610253,15.41314125,-0.384187535
45,100c476,2003,90.3167355,5.427420737,1587.593537,,96.87348117,447.8233594,2.228449637,74.44197252,59851.08104,86066.63718,26624.26277,1.167433052,115.5755293,100.540628,51.47319175,18637.65619,61.88043101,,0.687813973,64.03031697,16.86946849,69.06336834,2.641828188,25.98122205,,,,48.21140721,28.3686743,88.02223606,96.33229902,25.99050312,20.18144787,1.103309235,,,91.32291271,404.5307805,,,,5.321297683,0.859323554
46,71dc81f,2001,1474.626398,4.58262152,3067.604381,,14605.00804,22532.04555,3.486840953,68.30218709,134520.0736,251774.3205,122566.8874,3.095699818,571.4626351,35.0806587,17.87301912,6983.008926,69.40569969,,2.931175366,92.09218469,18.60187854,33.22774539,25.57193759,23.07219539,,94.24300493,94.02945694,30.45692559,39.58169173,84.12130936,86.87926177,26.17820874,12.82716282,4.093469542,0.236299713,,90.47582788,455.2431604,8.961583371,94689.90211,0.839471738,6.801095624,
47,d680446,2011,410663.3669,30.90481691,3308.551615,,127047.4758,582861.7907,4.580806687,62.91828135,14635753.48,21536077.34,7140108.298,2.785421128,150.6699426,9.888218638,27.35620513,1354.558178,42.56225892,,4.651408408,20.4105728,,24.63184949,1.778707063,23.71346592,,,,9.842485531,79.31970013,11.64620374,48.53821065,36.1852652,3.452542663,43.28378823,0.020207223,,14.23886429,2367.805021,2.249999601,10885209.16,0.73524727,12.29366512,-0.760235021
48,11c9833,2011,35889.02125,100.8557708,7137.274665,,705.4743648,1014638.671,3.259136011,70.91541781,48726958.2,87499001.2,37334196.75,2.096531821,245.797837,44.3646801,37.54980167,9841.885456,25.1527642,,0.185766483,4.980160048,13.91634718,13.98573897,10.89077585,31.03402075,,,95.61835997,25.45330717,63.37988529,96.09501161,98.85003126,29.31202433,26.53492528,0.368129915,0.009954485,0.492847445,101.088321,220304.0356,11.62396862,28863482.97,1.955476064,2.025142318,-1.419658972
49,d3a0eeb,2007,10457795.39,3.202963976,1186.754344,,6406623.757,23893704,5.46272413,55.4942425,530736460.1,796202075.5,270537135.5,2.74934744,156.2543775,18.6805303,7.91461056,3050.966161,35.39357472,,4.088626983,43.93611902,17.13311604,13.63639245,2.342837567,14.75996214,59.20706118,70.18897873,73.85276801,11.13719496,55.94164692,28.03350957,61.46914054,,,28.68272741,0.382104115,,31.70668591,732055.2565,7.374465002,315296710.6,1.55549636,16.99023411,
50,79c89fd,2000,3.994126264,,,,9.831835667,50.82491467,1.757633295,78.27430422,0,61724.55203,62739.35349,0.905609321,30.44927764,,103.2292695,51059.03312,,,,,,,1.595491144,63.93342103,,,,56.28073958,23.15231718,,,,,0,,,100.3414012,518.2352629,,,,,0.643138009
51,75c02b8,2004,2090916.567,6.894823194,884.9952351,,33536.16719,2730311.94,2.214559263,67.01905367,6706044.715,14758832.41,8199155.24,0.708628388,359.5207211,-45.66260442,4.001294985,14696.85357,44.66419835,32.09819303,0.670287844,18.20874063,14.15650679,16.23945663,19.09141897,49.60207235,,99.97059013,97.17783835,44.4290641,44.3578096,97.4736964,94.80757027,32.89021924,16.58705209,0.061426668,0.009894056,0.492945089,99.1487863,173381.2061,8.501104003,7904633.785,1.004444285,10.50837447,0.058873498
52,c3782c8,2002,111500.7584,28.0646976,2765.427221,,70585.81946,302026.8486,3.670070394,66.42604564,43256263.56,81573785.3,37894326.36,2.12773839,189.3852522,24.76983498,4.912954272,4389.162285,56.48566188,,0.573967835,6.698419743,12.13358936,13.38159134,6.977755345,29.09871588,,92.84544993,90.77898177,22.05809621,56.92304573,65.42773922,86.37749556,33.9956156,2.711785902,10.50374451,0.009858932,0.196249187,75.63457271,71780.40564,3.663306148,31066913.31,1.496870439,17.71533414,-0.918492654
53,81e884c,2002,24668.67813,31.19107021,4342.336142,,15813.38572,48776.75735,2.880030092,72.0892355,3255020.896,8940320.974,5603466.404,1.545789041,224.363352,75.22576192,48.84138104,8443.711877,37.8315501,50.29524677,0.571893759,16.17514955,13.29218402,21.95357202,8.799343635,35.82802936,88.23437305,87.59436355,90.1076864,20.76171953,28.78841214,79.89227212,87.07421528,35.32806403,13.65908621,4.609300673,0.120317316,,88.08958994,21001.4895,6.824618042,3707365.345,1.044911256,17.6008253,0.049937502
54,2ddc563,2003,14262.3942,59.05929373,1545.060873,,3372.181763,28050.33683,1.65188222,71.41872188,1070511.341,2962547.45,1962237.271,-0.537085769,196.5422873,53.47907776,27.57880441,4177.020352,49.1477937,33.64820799,8.588878181,81.64470946,,21.61854468,11.37476297,98.8346705,,86.12587546,85.96168151,25.49251462,55.74550131,88.75649737,92.50208411,20.86275272,13.27835686,0.088597792,0.020144653,2.37115054,97.1678178,3480.627803,9.983449604,1308691.107,2.688823505,4.596220946,0.200721722
55,0ea781c,2013,349.0035695,,,,1704.208381,2785.688256,4.139182674,73.89053897,156125.2789,188121.5503,37684.85586,0.808634353,264.0141761,,,5571.072198,48.54120226,,14.54810594,593.8043891,22.31465072,37.26334019,4.894811912,39.30964158,,,,,,91.25294223,98.77348062,26.70472011,44.44712852,0.113761368,,,97.59189365,200.3695262,8.646084276,37835.62715,,4.159263228,1.000842101
